product_id,base_cost,competitor_price,sales_last_30_days
widget_448,105.98,209.5,3395
widget_449,102.05,134.76,3634
widget_450,141.34,223.98,2078
widget_451,32.92,61.74,1134
widget_452,67.14,153.04,1176
widget_453,50.75,116.83,1533
widget_454,62.45,138.45,3309
widget_455,122.32,285.25,4973
widget_456,120.43,275.47,2926
widget_457,48.17,94.68,1036
widget_458,62.5,112.6,2258
widget_459,70.92,125.18,4704
widget_460,31.58,76.25,3814
widget_461,73.63,178.39,138
widget_462,42.26,99.8,1963
widget_463,62.55,85.56,2755
widget_464,119.57,225.1,4092
widget_465,144.69,180.05,872
widget_466,63.31,104.15,1402
widget_467,101.12,161.64,2339
widget_468,92.63,117.03,301
widget_469,77.11,151.9,2970
widget_470,125.67,156.92,276
widget_471,24.31,60.61,2563
widget_472,87.24,150.02,4726
widget_473,8.71,11.86,4244
widget_474,38.02,56.82,3612
widget_475,22.56,46.46,3969
widget_476,33.03,54.24,3901
widget_477,37.8,82.61,2435
widget_478,27.95,53.57,2179
widget_479,51.12,87.7,222
widget_480,96.96,222.69,383
widget_481,23.67,39.88,369
widget_482,88.05,163.96,4784
widget_483,20.58,30.63,1539
widget_484,126.87,268.57,2357
widget_485,54.91,79.03,2237
widget_486,11.18,20.49,1367
widget_487,143.03,341.08,905
widget_488,39.31,61.27,4696
widget_489,25.45,60.17,4004
widget_490,114.97,253.3,3153
widget_491,79.74,161.47,2927
widget_492,111.71,260.07,1389
widget_493,12.43,17.47,4433
widget_494,93.9,161.29,4268
widget_495,127.71,306.24,700
widget_496,109.19,132.29,3029
widget_497,54.39,76.57,2590
widget_498,139.89,264.73,4911
widget_499,145.29,176.7,1164
widget_500,96.22,194.56,436
widget_501,128.24,154.67,3956
widget_502,126.09,209.19,4007
widget_503,64.47,105.52,1058
widget_504,61.48,93.09,3968
widget_505,84.55,102.97,805
widget_506,40.36,52.29,4095
widget_507,96.73,159.47,3792
widget_508,95.47,137.12,4351
widget_509,32.73,47.71,1321
widget_510,50.26,61.55,3620
widget_511,54.8,132.82,1061
widget_512,74.01,104.9,3196
widget_513,77.68,123.36,1388
widget_514,119.45,182.52,4431
widget_515,74.41,130.0,4397
widget_516,93.01,207.46,549
widget_517,39.04,68.72,2107
widget_518,92.24,182.16,913
widget_519,52.45,117.97,4111
widget_520,129.49,313.9,4692
widget_521,116.69,239.92,3914
widget_522,109.21,221.7,2979
widget_523,64.24,145.48,3010
widget_524,140.54,212.04,2730
widget_525,133.19,283.31,588
widget_526,142.65,276.69,2822
widget_527,127.43,291.7,2363
widget_528,138.63,237.63,4804
widget_529,9.59,18.07,4988
widget_530,129.88,315.17,1474
widget_531,103.78,146.2,4009
widget_532,71.85,143.4,1978
widget_533,149.02,214.0,2371
widget_534,90.82,151.83,357
widget_535,71.99,124.77,4944
widget_536,123.13,207.42,2172
widget_537,58.15,119.2,1744
widget_538,114.6,246.27,4564
widget_539,54.73,130.98,1377
widget_540,149.39,191.3,4546
widget_541,93.42,164.1,1253
widget_542,60.27,100.74,1105
widget_543,101.94,219.14,4798
widget_544,5.93,14.35,590
widget_545,13.71,18.17,4575
widget_546,135.66,169.33,2237
widget_547,30.41,51.48,3601
widget_548,19.62,27.75,1421
widget_549,65.4,90.18,150
widget_550,70.16,141.06,4866
widget_551,58.09,103.51,514
widget_552,49.92,74.84,3412
widget_553,143.8,357.7,1610
widget_554,129.99,191.77,3109
widget_555,126.81,224.33,4239
widget_556,112.89,196.27,4294
widget_557,144.95,287.83,2671
widget_558,29.89,37.43,4506
widget_559,53.14,107.96,1158
widget_560,139.26,316.37,3586
widget_561,53.23,105.25,1598
widget_562,69.51,88.67,4417
widget_563,8.97,13.28,4773
widget_564,92.88,136.27,1762
widget_565,88.89,156.78,662
widget_566,37.15,83.81,1182
widget_567,33.57,81.21,2768
widget_568,127.56,215.74,512
widget_569,83.61,147.72,1352
widget_570,35.0,52.69,3357
widget_571,25.89,51.86,2632
widget_572,140.91,252.34,496
widget_573,114.97,251.64,490
widget_574,112.66,138.5,3388
widget_575,141.24,283.51,4433
widget_576,15.18,26.17,432
widget_577,130.11,259.7,4261
widget_578,104.84,159.1,4123
widget_579,26.71,48.75,2403
widget_580,130.92,257.17,1518
widget_581,15.99,37.27,210
widget_582,96.93,200.24,3598
widget_583,62.53,87.63,3580
widget_584,39.98,71.09,3673
widget_585,108.96,266.48,2007
widget_586,133.27,255.25,1202
widget_587,145.33,255.84,3895
widget_588,105.36,245.77,2303
widget_589,94.68,170.46,4392
widget_590,64.1,155.57,2218
widget_591,107.92,142.15,1996
widget_592,109.5,194.17,933
widget_593,110.82,252.73,1116
widget_594,34.73,50.64,3011
widget_595,17.67,38.69,1915
widget_596,41.09,73.44,3582
widget_597,111.89,203.92,4025
widget_598,109.8,219.02,4061
widget_599,110.78,159.27,1710
widget_600,83.54,111.53,942
widget_601,106.07,234.6,767
widget_602,93.9,198.12,3322
widget_603,105.11,171.38,689
widget_604,94.42,164.24,1778
widget_605,129.81,254.54,2757
widget_606,139.69,348.0,285
widget_607,108.6,261.17,704
widget_608,116.95,260.63,1868
widget_609,142.54,181.35,380
widget_610,142.14,237.37,4644
widget_611,48.26,102.03,2498
widget_612,69.33,140.66,1121
widget_613,76.36,129.49,2818
widget_614,136.84,266.95,2109
widget_615,76.59,121.26,3938
widget_616,54.55,110.97,3347
widget_617,118.78,241.61,4287
widget_618,106.6,247.99,2167
widget_619,14.92,21.86,2383
widget_620,142.37,294.48,469
widget_621,101.61,156.58,4072
widget_622,117.46,177.63,826
widget_623,82.81,177.49,4396
widget_624,91.99,173.53,1940
widget_625,41.32,89.11,3343
widget_626,13.29,32.55,4165
widget_627,55.96,99.2,962
widget_628,51.61,118.36,3350
widget_629,50.65,111.7,4529
widget_630,106.86,140.71,2336
widget_631,99.34,158.89,4594
widget_632,56.44,125.25,4164
widget_633,125.84,212.7,3300
widget_634,89.39,215.83,4185
widget_635,116.24,204.04,3719
widget_636,121.66,268.84,3790
widget_637,68.85,154.59,2492
widget_638,8.01,17.15,1072
widget_639,77.05,180.67,2913
widget_640,21.1,50.59,4984
widget_641,13.53,25.64,1050
widget_642,34.84,84.46,2005
widget_643,109.39,165.43,3842
widget_644,71.2,130.26,1695
widget_645,110.91,163.12,319
widget_646,73.79,170.75,999
widget_647,55.06,67.61,3437
widget_648,56.03,97.86,1611
widget_649,47.92,61.8,2769
widget_650,8.39,14.47,3449
widget_651,82.37,173.45,2747
widget_652,120.89,219.49,1148
widget_653,5.08,11.69,1480
widget_654,135.76,289.14,3626
widget_655,44.17,62.96,2769
widget_656,126.59,162.84,2944
widget_657,20.2,45.06,4279
widget_658,48.54,95.73,2277
widget_659,98.87,182.98,2422
widget_660,11.37,21.57,1653
widget_661,70.38,166.39,3776
widget_662,114.7,177.34,4646
widget_663,123.44,253.13,2576
widget_664,67.13,89.87,1861
widget_665,49.38,87.71,2254
widget_666,143.38,332.16,4365
widget_667,47.6,104.69,2516
widget_668,18.36,25.46,2565
widget_669,8.08,11.4,498
widget_670,139.55,244.39,4375
widget_671,105.64,159.85,3601
widget_672,141.78,174.48,1815
widget_673,6.87,12.97,3591
widget_674,72.24,138.09,2101
widget_675,94.87,213.91,3612
widget_676,144.83,350.96,4123
widget_677,136.68,208.67,3650
widget_678,95.49,157.91,3376
widget_679,76.1,136.14,1734
widget_680,11.98,24.29,2952
widget_681,135.18,296.01,1204
widget_682,46.86,105.21,3678
widget_683,74.51,183.31,2961
widget_684,137.23,193.74,3826
widget_685,106.26,190.23,552
widget_686,136.89,206.04,573
widget_687,78.9,171.15,3095
widget_688,15.89,25.43,3252
widget_689,92.44,204.21,633
widget_690,147.96,345.26,2519
widget_691,65.76,154.07,955
widget_692,71.87,170.47,3453
widget_693,139.96,296.42,2765
widget_694,26.31,37.72,4656
widget_695,137.46,314.17,1963
widget_696,100.07,133.49,1638
widget_697,24.93,44.92,3763
widget_698,47.91,79.52,1947
widget_699,44.45,64.45,1497
widget_700,143.87,219.33,4402
widget_701,48.91,101.61,1547
widget_702,35.77,61.38,1076
widget_703,105.78,135.3,4781
widget_704,13.66,32.18,196
widget_705,31.15,41.58,983
widget_706,56.73,99.3,2516
widget_707,26.71,44.5,3520
widget_708,23.88,54.69,205
widget_709,17.8,35.35,2413
widget_710,118.84,178.33,1436
widget_711,16.48,33.85,1309
widget_712,86.57,188.36,3990
widget_713,102.21,147.42,2429
widget_714,25.04,61.63,1242
widget_715,13.47,26.57,128
widget_716,34.49,63.13,1038
widget_717,102.53,139.92,4487
widget_718,73.61,150.29,4183
widget_719,46.21,97.16,4139
widget_720,133.6,313.26,718
widget_721,61.92,98.25,4864
widget_722,53.44,118.63,4902
widget_723,36.57,69.12,2615
widget_724,133.79,206.01,3710
widget_725,58.39,143.94,1436
widget_726,45.56,72.54,4336
widget_727,49.11,120.32,2329
widget_728,105.5,128.28,2159
widget_729,26.37,48.72,4981
widget_730,30.26,55.85,1670
widget_731,99.73,134.14,2470
widget_732,48.22,96.08,1231
widget_733,124.61,310.67,3079
widget_734,7.48,15.37,2285
widget_735,90.88,212.92,2512
widget_736,53.81,131.4,2214
widget_737,39.55,52.43,2116
widget_738,65.32,90.27,4662
widget_739,65.9,116.52,3377
widget_740,34.62,58.73,1951
widget_741,145.39,291.97,3666
widget_742,20.84,31.38,3867
widget_743,141.83,223.96,1134
widget_744,10.38,24.04,3984
widget_745,131.65,262.71,980
widget_746,14.09,17.15,3132
widget_747,52.69,80.28,3100
widget_748,110.78,149.54,4836
widget_749,143.36,210.64,3460
widget_750,59.5,81.31,4474
widget_751,132.74,177.46,2514
widget_752,67.92,159.67,355
widget_753,86.96,146.93,3488
widget_754,131.8,325.06,197
widget_755,32.26,71.56,394
widget_756,62.45,94.28,3521
widget_757,148.58,232.14,2261
widget_758,51.11,87.34,2814
widget_759,110.52,269.65,3597
widget_760,68.33,113.89,3077
widget_761,86.11,181.81,3128
widget_762,119.41,262.17,665
widget_763,117.32,264.15,1557
widget_764,41.39,58.45,3963
widget_765,87.31,124.47,3480
widget_766,52.23,72.38,2348
widget_767,100.45,248.64,2695
widget_768,132.14,308.14,3442
widget_769,131.44,323.22,2947
widget_770,65.19,148.65,4879
widget_771,77.12,109.92,1532
widget_772,127.68,295.05,2792
widget_773,5.67,9.55,3141
widget_774,49.92,110.11,4477
widget_775,117.16,168.37,2983
widget_776,69.57,84.16,4193
widget_777,39.36,91.9,2271
widget_778,97.57,122.95,4954
widget_779,103.8,175.47,2694
widget_780,120.58,147.66,3058
widget_781,125.46,300.97,316
widget_782,14.44,31.93,3587
widget_783,147.07,263.51,1409
widget_784,86.01,178.53,988
widget_785,135.74,319.74,3995
widget_786,115.01,227.32,4471
widget_787,70.04,103.75,3177
widget_788,79.68,179.81,3168
widget_789,141.93,173.21,2421
widget_790,116.83,177.95,4807
widget_791,79.79,107.32,2280
widget_792,48.16,81.03,1338
widget_793,115.39,150.86,1817
widget_794,145.11,225.28,1637
widget_795,84.0,103.25,2311
widget_796,23.03,39.25,2712
widget_797,87.43,143.93,4912
widget_798,118.18,200.07,2844
widget_799,57.54,128.95,2484
widget_800,93.5,166.96,2220
widget_801,116.26,146.34,2672
widget_802,55.03,111.0,4794
widget_803,38.89,84.16,4975
widget_804,79.17,101.88,943
widget_805,88.77,152.31,2272
widget_806,36.76,47.22,4130
widget_807,145.05,319.89,1600
widget_808,92.25,170.77,912
widget_809,72.53,176.25,4799
widget_810,125.65,180.82,4861
widget_811,59.38,115.44,1841
widget_812,17.53,23.86,336
widget_813,17.6,26.8,2017
widget_814,76.07,175.09,1105
widget_815,19.25,32.77,4250
widget_816,148.5,370.3,4941
widget_817,98.9,121.6,3388
widget_818,18.45,34.66,3196
widget_819,75.5,103.03,4019
widget_820,40.84,85.08,4689
widget_821,52.14,105.39,1608
widget_822,11.24,25.34,3898
widget_823,51.53,90.07,4194
widget_824,116.19,261.48,2945
widget_825,74.54,107.33,3304
widget_826,132.49,295.94,3779
widget_827,70.67,112.17,1931
widget_828,23.45,48.06,2617
widget_829,88.69,185.38,4713
widget_830,7.71,16.08,2492
widget_831,48.75,66.08,3731
widget_832,106.79,215.56,1631
widget_833,5.35,11.57,888
widget_834,40.64,88.45,4382
widget_835,19.76,30.05,1065
widget_836,98.37,133.96,4425
widget_837,126.5,208.58,2291
widget_838,51.63,125.58,3906
widget_839,52.41,120.52,2684
widget_840,27.41,42.3,1252
widget_841,33.01,55.36,363
widget_842,9.8,12.03,2974
widget_843,68.68,152.5,4166
widget_844,136.27,282.43,484
widget_845,119.63,245.3,1594
widget_846,117.73,200.39,3553
widget_847,114.23,252.62,1610
widget_848,16.06,32.0,309
widget_849,108.3,250.87,1502
widget_850,81.71,113.7,2678
widget_851,55.56,133.0,195
widget_852,100.47,177.75,172
widget_853,85.48,129.34,211
widget_854,73.59,162.54,2501
widget_855,65.5,114.9,543
widget_856,113.65,232.15,2992
widget_857,144.75,249.74,3771
widget_858,119.79,181.62,1480
widget_859,97.32,176.53,3599
widget_860,105.33,142.13,1428
widget_861,37.22,92.18,3346
widget_862,27.79,66.35,2905
widget_863,16.0,21.61,3525
widget_864,85.17,209.31,3792
widget_865,137.18,334.33,1176
widget_866,93.91,197.24,2304
widget_867,12.3,28.33,1090
widget_868,95.74,176.13,719
widget_869,18.26,34.15,1721
widget_870,143.32,273.66,3316
widget_871,115.52,162.04,3073
widget_872,22.53,46.22,1683
widget_873,145.23,262.67,4639
widget_874,45.84,58.07,1597
widget_875,83.93,157.72,2616
widget_876,53.12,120.23,1355
widget_877,83.58,139.02,2422
widget_878,79.99,144.55,3142
widget_879,116.91,170.09,1007
widget_880,53.96,69.37,3753
widget_881,84.4,120.58,2354
